read_id	chr_end	y_prime_recombination_status	y_prime_observed_array	y_prime_gained_segment	y_prime_fingerprint_window	unit	copies	kind	donor	y_prime_array_matches	recombination_source	overall_confidence	recombination_mechanism	telomere_end_confirmed	circle_class
SRR33298450.390026	chr10R	Y' Gain	ID2,ID1,ID2,ID1,ID2	ID2,ID1,ID2,ID1,ID2	ID2,ID1,ID2,ID1,ID2	ID2,ID1	2.5	periodic	chr13L	chr13L:periodic;chr14L:periodic	chr13L	1.0	subtelomere_switch	True	repeated_unit_from_donor
SRR33298450.521266	chr10R	Y' Gain	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1	2.0	contiguous	chr13L	chr13L:contiguous;chr14L:periodic	chr13L	1.0	subtelomere_switch	True	repeated_unit_from_donor
SRR33298450.292554	chr11R	Y' Gain	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1	2.0	contiguous	chr13L	chr13L:contiguous;chr14L:periodic	chr13L	0.66	donor_transfer	True	repeated_unit_from_donor
SRR33298450.336080	chr11R	Y' Gain	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1	2.0	contiguous	chr13L	chr13L:contiguous;chr14L:periodic	chr13L	0.66	donor_transfer	True	repeated_unit_from_donor
SRR33298450.500957	chr11R	Y' Gain	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1	2.0	contiguous	chr13L	chr13L:contiguous;chr14L:periodic	chr13L	0.66	donor_transfer	True	repeated_unit_from_donor
SRR33298450.73471	chr12L	Y' Gain	ID2,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298450.292399	chr12L	Y' Gain	ID2,ID2,ID2,ID2	ID2,ID2,ID2	ID2,ID2,ID2	ID2	3.0	contiguous	chr14L	chr14L:contiguous	chr14L	0.66	donor_transfer	True	homopolymer_run
SRR33298450.111984	chr12R	Y' Gain	ID5,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1	ID1	6.0	contiguous	chr4R	chr12R:periodic;chr14L:periodic;chr4R:contiguous	chr4R	0.66	donor_transfer	True	homopolymer_run
SRR33298450.557450	chr12R	Y' Gain	ID5,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	tandem_amplification_same_end	True	homopolymer_run
SRR33298450.79362	chr13L	Y' Gain	ID2,ID1,ID2,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1	ID1	6.0	contiguous	chr4R	chr12R:periodic;chr14L:periodic;chr4R:contiguous	chr4R	0.66	donor_transfer	True	homopolymer_run
SRR33298450.222436	chr13L	Y' Gain	ID2,ID1,ID2,ID1,ID1,ID2,ID1,ID1,ID2,ID1	ID1,ID2,ID1,ID1,ID2,ID1	ID1,ID2,ID1,ID1,ID2,ID1	ID1,ID2,ID1	2.0	periodic		chr13L:periodic;chr14L:periodic	chr13L	0.33	tandem_amplification_same_end	True	tandem_amplification_own_array
SRR33298450.75601	chr13L	Y' Gain	ID2,ID1,ID2,ID1,ID1,ID2,ID1,ID2	ID1,ID2,ID1,ID2	ID1,ID2,ID1,ID2	ID1,ID2	2.0	contiguous		chr13L:rotation;chr14L:periodic	chr13L	0.33	tandem_amplification_same_end	True	tandem_amplification_own_array
SRR33298450.302264	chr13L	Y' Recombination	ID2,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1	ID1	5.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
