read_id	chr_end	y_prime_recombination_status	y_prime_observed_array	y_prime_gained_segment	y_prime_fingerprint_window	unit	copies	kind	donor	y_prime_array_matches	recombination_source	overall_confidence	recombination_mechanism	telomere_end_confirmed	circle_class
SRR33298449.405610	chr10L	Y' Gain	ID3,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	False	homopolymer_run
SRR33298449.327615	chr10R	Y' Gain	ID2,ID1,ID2,ID1,ID2	ID2,ID1,ID2,ID1,ID2	ID2,ID1,ID2,ID1,ID2	ID2,ID1	2.5	periodic	chr13L	chr13L:periodic;chr14L:periodic	chr13L	0.66	donor_transfer	True	repeated_unit_from_donor
SRR33298449.274261	chr10R	Y' Gain	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1	2.0	contiguous	chr13L	chr13L:contiguous;chr14L:periodic	chr14L	0.3559	subtelomere_switch	True	repeated_unit_from_donor
SRR33298449.12734	chr12L	Y' Gain	ID2,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1	7.0	contiguous	chr4R	chr12R:periodic;chr14L:periodic;chr4R:contiguous	chr4R	0.66	donor_transfer	True	homopolymer_run
SRR33298449.399655	chr12L	Y' Gain	ID2,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1	ID1	6.0	contiguous	chr4R	chr12R:periodic;chr14L:periodic;chr4R:contiguous	chr4R	0.66	donor_transfer	True	homopolymer_run
SRR33298449.504907	chr12L	Y' Gain	ID2,ID2,ID2,ID2,ID2,ID2	ID2,ID2,ID2,ID2,ID2	ID2,ID2,ID2,ID2,ID2	ID2	5.0	periodic	chr14L	chr14L:periodic	chr14L	0.66	donor_transfer	False	homopolymer_run
SRR33298449.100701	chr12R	Y' Gain	ID5,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	tandem_amplification_same_end	True	homopolymer_run
SRR33298449.66366	chr12R	Y' Gain	ID5,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	tandem_amplification_same_end	True	homopolymer_run
SRR33298449.331456	chr13L	Y' Gain	ID2,ID1,ID2,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1	ID1	4.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	False	homopolymer_run
SRR33298449.64948	chr13L	Y' Recombination	ID2,ID1,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr4R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298449.389750	chr14L	Y' Gain	ID1,ID1,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2	ID2,ID2,ID2,ID2,ID2,ID2,ID2	ID2,ID2,ID2,ID2,ID2,ID2,ID2	ID2	7.0	periodic		chr14L:periodic	chr14L	0.33	tandem_amplification_same_end	True	homopolymer_run
SRR33298449.353063	chr14L	Y' Gain	ID1,ID1,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2	ID2,ID2,ID2,ID2,ID2	ID2,ID2,ID2,ID2,ID2	ID2	5.0	periodic		chr14L:periodic	chr14L	0.33	tandem_amplification_same_end	True	homopolymer_run
SRR33298449.278119	chr14L	Y' Recombination	ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1	ID1	6.0	contiguous	chr4R	chr12R:periodic;chr14L:periodic;chr4R:contiguous	chr4R	0.66	donor_transfer	True	homopolymer_run
SRR33298449.568949	chr14L	Y' Gain	ID1,ID1,ID2,ID2,ID2,ID2,ID2,ID2	ID2,ID2,ID2	ID2,ID2,ID2	ID2	3.0	contiguous		chr14L:contiguous	chr14L	0.33	tandem_amplification_same_end	True	homopolymer_run
SRR33298449.586167	chr14L	Y' Recombination	ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298449.586243	chr14L	Y' Recombination	ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298449.517427	chr14L	Y' Recombination	ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	False	homopolymer_run
