chr_end	n_reads	ref_yprimes	n_loss	pct_loss	real_contraction	rm_miss	unconfirmed_end	other	pct_real	pct_rm_miss	rm_miss_flag
chr1L	107	0	0	0.0	0	0	0	0	0.0	0.0	
chr1R	73	0	0	0.0	0	0	0	0	0.0	0.0	
chr2L	216	1	0	0.0	0	0	0	0	0.0	0.0	
chr2R	240	0	0	0.0	0	0	0	0	0.0	0.0	
chr3L	311	0	0	0.0	0	0	0	0	0.0	0.0	
chr3R	279	0	0	0.0	0	0	0	0	0.0	0.0	
chr4L	170	0	0	0.0	0	0	0	0	0.0	0.0	
chr4R	69	7	17	24.6	14	0	3	0	82.4	0.0	
chr5L	217	1	0	0.0	0	0	0	0	0.0	0.0	
chr5R	218	1	0	0.0	0	0	0	0	0.0	0.0	
chr6L	266	1	3	1.1	1	0	2	0	33.3	0.0	
chr6R	267	0	0	0.0	0	0	0	0	0.0	0.0	
chr7L	265	0	0	0.0	0	0	0	0	0.0	0.0	
chr7R	227	1	0	0.0	0	0	0	0	0.0	0.0	
chr8L	259	1	2	0.8	0	0	2	0	0.0	0.0	
chr8R	125	1	2	1.6	0	0	2	0	0.0	0.0	
chr9L	188	1	0	0.0	0	0	0	0	0.0	0.0	
chr9R	213	0	0	0.0	0	0	0	0	0.0	0.0	
chr10L	196	1	0	0.0	0	0	0	0	0.0	0.0	
chr10R	206	0	0	0.0	0	0	0	0	0.0	0.0	
chr11L	245	0	0	0.0	0	0	0	0	0.0	0.0	
chr11R	242	0	0	0.0	0	0	0	0	0.0	0.0	
chr12L	279	1	0	0.0	0	0	0	0	0.0	0.0	
chr12R	76	6	24	31.6	20	1	3	0	83.3	4.2	
chr13L	151	4	22	14.6	13	0	9	0	59.1	0.0	
chr13R	194	0	0	0.0	0	0	0	0	0.0	0.0	
chr14L	84	5	11	13.1	8	0	3	0	72.7	0.0	
chr14R	248	1	2	0.8	2	0	0	0	100.0	0.0	
chr15L	259	0	0	0.0	0	0	0	0	0.0	0.0	
chr15R	199	1	0	0.0	0	0	0	0	0.0	0.0	
chr16L	197	1	0	0.0	0	0	0	0	0.0	0.0	
chr16R	231	1	0	0.0	0	0	0	0	0.0	0.0	
