chr_end	n_reads	ref_yprimes	n_loss	pct_loss	real_contraction	rm_miss	unconfirmed_end	other	pct_real	pct_rm_miss	rm_miss_flag
chr1L	201	0	0	0.0	0	0	0	0	0.0	0.0	
chr1R	90	0	0	0.0	0	0	0	0	0.0	0.0	
chr2L	203	1	1	0.5	0	0	1	0	0.0	0.0	
chr2R	246	0	0	0.0	0	0	0	0	0.0	0.0	
chr3L	350	0	0	0.0	0	0	0	0	0.0	0.0	
chr3R	328	0	0	0.0	0	0	0	0	0.0	0.0	
chr4L	121	0	0	0.0	0	0	0	0	0.0	0.0	
chr4R	41	7	6	14.6	3	0	3	0	50.0	0.0	
chr5L	247	1	0	0.0	0	0	0	0	0.0	0.0	
chr5R	284	1	0	0.0	0	0	0	0	0.0	0.0	
chr6L	248	1	0	0.0	0	0	0	0	0.0	0.0	
chr6R	278	0	0	0.0	0	0	0	0	0.0	0.0	
chr7L	258	0	0	0.0	0	0	0	0	0.0	0.0	
chr7R	212	1	0	0.0	0	0	0	0	0.0	0.0	
chr8L	307	1	0	0.0	0	0	0	0	0.0	0.0	
chr8R	118	1	1	0.8	0	0	1	0	0.0	0.0	
chr9L	203	1	0	0.0	0	0	0	0	0.0	0.0	
chr9R	342	0	0	0.0	0	0	0	0	0.0	0.0	
chr10L	176	1	0	0.0	0	0	0	0	0.0	0.0	
chr10R	170	0	0	0.0	0	0	0	0	0.0	0.0	
chr11L	242	0	0	0.0	0	0	0	0	0.0	0.0	
chr11R	223	0	0	0.0	0	0	0	0	0.0	0.0	
chr12L	250	1	2	0.8	2	0	0	0	100.0	0.0	
chr12R	48	6	9	18.8	3	0	6	0	33.3	0.0	
chr13L	123	4	15	12.2	13	0	2	0	86.7	0.0	
chr13R	215	0	0	0.0	0	0	0	0	0.0	0.0	
chr14L	88	5	17	19.3	12	0	5	0	70.6	0.0	
chr14R	244	1	0	0.0	0	0	0	0	0.0	0.0	
chr15L	262	0	0	0.0	0	0	0	0	0.0	0.0	
chr15R	168	1	0	0.0	0	0	0	0	0.0	0.0	
chr16L	169	1	0	0.0	0	0	0	0	0.0	0.0	
chr16R	267	1	0	0.0	0	0	0	0	0.0	0.0	
