our_header	our_id	our_size	best_hit	hit_curated_id	hit_size	pident	coverage_pct	bitscore	mapped_curated_id	verdict
Y_Prime_chr12R2,3,4,5;chr4R1,2,3,4,6,7#Long/Tandem/ID1_Gray	ID1	Long	Y_Prime_chr4R4,7;chr12R3,4,5;chr14L2#Long/Tandem/ID2_Red-Light	ID2_Red-Light	Long	100.0	100.0	12288.0	ID2_Red-Light	ok
Y_Prime_chr14L3,4,5#Short/Tandem/ID2_Red	ID2	Short	Y_Prime_chr14L3,4,5#Short/Tandem/ID3_Orange	ID3_Orange	Short	100.0	100.0	10133.0	ID3_Orange	ok
Y_Prime_chr13L1,3#Short/Tandem/ID2_Red	ID2	Short	Y_Prime_chr13L3#Short/Solo/ID7_Yellow	ID7_Yellow	Short	100.0	100.0	10129.0	ID3_Orange	hit_id_differs_from_mapping
Y_Prime_chr13L2,4#Long/Tandem/ID1_Gray	ID1	Long	Y_Prime_chr13L4#Long/Tandem/ID2_Red-Light	ID2_Red-Light	Long	100.0	100.0	12283.0	ID2_Red-Light	ok
Y_Prime_chr10L1#Long/Solo/ID3_Green	ID3	Long	Y_Prime_chr10L1#Long/Solo/ID6_Purple-Dark	ID6_Purple-Dark	Long	100.0	100.0	12685.0	ID6_Purple-Dark	ok
Y_Prime_chr12L1#Short/Solo/ID2_Red	ID2	Short	Y_Prime_chr12L1#Short/Solo/ID1_Gray	ID1_Gray	Short	100.0	100.0	9588.0	ID3_Orange	hit_id_differs_from_mapping
Y_Prime_chr12R1#Long/Solo/ID5_Purple	ID5	Long	Y_Prime_chr12R1#Long/Solo/ID1_Gray	ID1_Gray	Long	100.0	100.0	11976.0	ID1_Gray	ok
Y_Prime_chr12R6#Long/Solo/ID1_Gray	ID1	Long	Y_Prime_chr12R6#Long/Tandem/ID2_Red-Light	ID2_Red-Light	Long	100.0	100.0	12283.0	ID2_Red-Light	ok
Y_Prime_chr14L1#Long/Solo/ID1_Gray	ID1	Long	Y_Prime_chr14L1#Long/Solo/ID5_Blue-Light	ID5_Blue-Light	Long	100.0	100.0	12292.0	ID2_Red-Light	hit_id_differs_from_mapping
Y_Prime_chr14L2#Long/Solo/ID1_Gray	ID1	Long	Y_Prime_chr4R4,7;chr12R3,4,5;chr14L2#Long/Tandem/ID2_Red-Light	ID2_Red-Light	Long	100.0	100.0	12288.0	ID2_Red-Light	ok
Y_Prime_chr14R1#Long/Solo/ID6_Blue	ID6	Long	Y_Prime_chr14R1#Long/Solo/ID6_Purple-Neutral	ID6_Purple-Neutral	Long	100.0	100.0	12063.0	ID6_Purple-Neutral	ok
Y_Prime_chr15R1#Long/Solo/ID1_Gray	ID1	Long	Y_Prime_chr15R1#Long/Solo/ID2_Red-Dark	ID2_Red-Dark	Long	99.985	100.0	12273.0	ID2_Red-Light	hit_id_differs_from_mapping
Y_Prime_chr16L1#Long/Solo/ID1_Gray	ID1	Long	Y_Prime_chr16L1#Long/Solo/ID5_Blue-Dark	ID5_Blue-Dark	Long	100.0	100.0	12434.0	ID2_Red-Light	hit_id_differs_from_mapping
Y_Prime_chr16R1#Short/Solo/ID7_Yellow	ID7	Short	Y_Prime_chr16R1#Short/Solo/ID1_Gray	ID1_Gray	Short	100.0	100.0	9792.0	ID1_Gray	ok
Y_Prime_chr2L1#Short/Solo/ID4_Orange	ID4	Short	Y_Prime_chr2L1#Short/Solo/ID4_Green-Light	ID4_Green-Light	Short	100.0	100.0	11036.0	ID4_Green-Dark	hit_id_differs_from_mapping
Y_Prime_chr4R5#Long/Solo/ID1_Gray	ID1	Long	Y_Prime_chr4R5#Long/Tandem/ID2_Red-Light	ID2_Red-Light	Long	100.0	100.0	12288.0	ID2_Red-Light	ok
Y_Prime_chr5L1#Long/Solo/ID8_Cyan	ID8	Long	Y_Prime_chr5L1#Long/Solo/ID6_Purple-Light	ID6_Purple-Light	Long	100.0	100.0	11971.0	ID6_Purple-Light	ok
Y_Prime_chr5R1#Long/Solo/ID1_Gray	ID1	Long	Y_Prime_chr5R1#Long/Solo/ID1_Gray	ID1_Gray	Long	100.0	100.0	12364.0	ID2_Red-Light	hit_id_differs_from_mapping
Y_Prime_chr6L1#Short/Solo/ID4_Orange	ID4	Short	Y_Prime_chr6L1#Short/Solo/ID4_Green-Dark	ID4_Green-Dark	Short	100.0	100.0	11038.0	ID4_Green-Dark	ok
Y_Prime_chr7R1#Long/Solo/ID1_Gray	ID1	Long	Y_Prime_chr7R1#Long/Solo/ID5_Blue-Dark	ID5_Blue-Dark	Long	100.0	100.0	12290.0	ID2_Red-Light	hit_id_differs_from_mapping
Y_Prime_chr8L1#Short/Solo/ID2_Red	ID2	Short	Y_Prime_chr8L1#Short/Solo/ID1_Gray	ID1_Gray	Short	100.0	100.0	9347.0	ID3_Orange	hit_id_differs_from_mapping
Y_Prime_chr8R1#Short/Solo/ID2_Red	ID2	Short	Y_Prime_chr8R1#Short/Solo/ID1_Gray	ID1_Gray	Short	100.0	99.4	10039.0	ID3_Orange	hit_id_differs_from_mapping
Y_Prime_chr9L1#Long/Solo/ID3_Green	ID3	Long	Y_Prime_chr9L1#Long/Solo/ID6_Purple-Dark	ID6_Purple-Dark	Long	100.0	100.0	12687.0	ID6_Purple-Dark	ok
