chr_end	feature	ftype	length_curated	length_ours	dlen	offset_curated	offset_ours	doffset	verdict	severity
chr1L	anchor	anchor	5040	5043.0	3.0	-5039	-5042.0	-3.0	ok	
chr1L	space_between_anchor	spacer	10014	10034.0	20.0	1	1.0	0.0	ok	
chr1L	x_core_element	x_core	463	461.0	-2.0	10015	10035.0	20.0	ok	
chr1L	x_variable_element	x_variable	287	287.0	0.0	10478	10495.0	17.0	ok	
chr1L	Telomere_Repeat	telomere	240			10765			expected_absent_in_ours	
chr1R	anchor	anchor	5040	5040.0	0.0	-5039	-5039.0	0.0	ok	
chr1R	space_between_anchor	spacer	24967	24989.0	22.0	1	1.0	0.0	ok	
chr1R	x_core_element	x_core	458	453.0	-5.0	24968	24990.0	22.0	ok	
chr1R	x_variable_element	x_variable	285	285.0	0.0	25426	25442.0	16.0	ok	
chr1R	Telomere_Repeat	telomere	200			25711			expected_absent_in_ours	
chr2L	anchor	anchor	5040	5040.0	0.0	-5039	-5039.0	0.0	ok	
chr2L	space_between_anchor	spacer	3998	4002.0	4.0	1	1.0	0.0	ok	
chr2L	x_core_element	x_core	470	468.0	-2.0	3999	4003.0	4.0	ok	
chr2L	x_variable_element	x_variable	292	293.0	1.0	4469	4470.0	1.0	ok	
chr2L	Y_Prime_1	y_prime	5976	5976.0	0.0	4761	4762.0	1.0	ok	
chr2L	Telomere_Repeat	telomere	310			10737			expected_absent_in_ours	
chr2R	anchor	anchor	5040	5040.0	0.0	-5039	-5039.0	0.0	ok	
chr2R	space_between_anchor	spacer	10000	10007.0	7.0	1	1.0	0.0	ok	
chr2R	x_core_element	x_core	470	469.0	-1.0	10001	10008.0	7.0	ok	
chr2R	x_variable_element	x_variable	289	287.0	-2.0	10471	10476.0	5.0	ok	
chr2R	Telomere_Repeat	telomere	299			10760			expected_absent_in_ours	
chr3L	anchor	anchor	5040	5043.0	3.0	-5039	-5042.0	-3.0	ok	
chr3L	space_between_anchor	spacer	9932	9938.0	6.0	1	1.0	0.0	ok	
chr3L	x_core_element	x_core	460	459.0	-1.0	9933	9939.0	6.0	ok	
chr3L	x_variable_element	x_variable	297	295.0	-2.0	10393	10397.0	4.0	ok	
chr3L	Telomere_Repeat	telomere	323			10690			expected_absent_in_ours	
chr3R	anchor	anchor	5039	5042.0	3.0	-5038	-5041.0	-3.0	ok	
chr3R	space_between_anchor	spacer	9992	10004.0	12.0	1	1.0	0.0	ok	
chr3R	x_core_element	x_core	407	401.0	-6.0	9993	10005.0	12.0	ok	
chr3R	x_variable_element	x_variable	311	311.0	0.0	10400	10405.0	5.0	ok	
chr3R	Telomere_Repeat	telomere	351			10711			expected_absent_in_ours	
chr4L	anchor	anchor	5040	5040.0	0.0	-5039	-5039.0	0.0	ok	
chr4L	space_between_anchor	spacer	20087	20091.0	4.0	1	1.0	0.0	ok	
chr4L	x_core_element	x_core	460	459.0	-1.0	20088	20092.0	4.0	ok	
chr4L	x_variable_element	x_variable	258	256.0	-2.0	20548	20550.0	2.0	ok	
chr4L	Telomere_Repeat	telomere	201			20806			expected_absent_in_ours	
chr4R	anchor	anchor	5041	5044.0	3.0	-5040	-5043.0	-3.0	ok	
chr4R	space_between_anchor	spacer	1898	1899.0	1.0	1	1.0	0.0	ok	
chr4R	x_core_element	x_core	465	464.0	-1.0	1899	1900.0	1.0	ok	
chr4R	x_variable_element	x_variable	275	272.0	-3.0	2364	2363.0	-1.0	ok	
chr4R	ITS_Y_Prime_0-1	its	381	386.0	5.0	2639	2635.0	-4.0	ok	
chr4R	Y_Prime_1	y_prime	6654	6653.0	-1.0	3020	3021.0	1.0	ok	
chr4R	ITS_Y_Prime_1-2	its	8	10.0	2.0	9674	9674.0	0.0	ok	
chr4R	Y_Prime_2	y_prime	6654	6653.0	-1.0	9682	9684.0	2.0	ok	
chr4R	ITS_Y_Prime_2-3	its	8	10.0	2.0	16336	16337.0	1.0	ok	
chr4R	Y_Prime_3	y_prime	6655	6653.0	-2.0	16344	16347.0	3.0	ok	
chr4R	ITS_Y_Prime_3-4	its	8	10.0	2.0	22999	23000.0	1.0	ok	
chr4R	Y_Prime_4	y_prime	6655	6653.0	-2.0	23007	23010.0	3.0	ok	
chr4R	ITS_Y_Prime_4-5	its	169	171.0	2.0	29662	29663.0	1.0	ok	
chr4R	Y_Prime_5	y_prime	6655	6653.0	-2.0	29831	29834.0	3.0	ok	
chr4R	ITS_Y_Prime_5-6	its	170	172.0	2.0	36486	36487.0	1.0	ok	
chr4R	Y_Prime_6	y_prime	6654	6653.0	-1.0	36656	36659.0	3.0	ok	
chr4R	ITS_Y_Prime_6-7	its	8	10.0	2.0	43310	43312.0	2.0	ok	
chr4R	Y_Prime_7	y_prime	6655	6653.0	-2.0	43318	43322.0	4.0	ok	
