check	value	ok
run_config	verification/snapshot/6991_day0_with_selection/run_config.yaml	True
config_strain	6991_day0_with_selection	True
y_prime_lib_override_present	False	True
y_prime_lib_resolved	results/6991_day0_with_selection/_pipeline/pretelomeric_labels/extracted_yprimes_6991_day0_with_selection.fasta	True
ours_lib_md5	4d07d11601d0df2184a151bbb95bebe3	True
bed_yprimes_not_in_lib	-	True
lib_yprimes_not_in_bed	-	True
n_bed_yprimes	34	True
n_lib_yprime_locations	34	True
n_lib_unique_variants	23	True
