check	value	ok
run_config	verification/snapshot/7172_day0_with_selection/run_config.yaml	True
config_strain	7172_day0_with_selection	True
y_prime_lib_override_present	False	True
y_prime_lib_resolved	results/7172_day0_with_selection/_pipeline/pretelomeric_labels/extracted_yprimes_7172_day0_with_selection.fasta	True
ours_lib_md5	ecf333f6bbdce85ff83123b033d2c743	True
bed_yprimes_not_in_lib	-	True
lib_yprimes_not_in_bed	-	True
n_bed_yprimes	35	True
n_lib_yprime_locations	35	True
n_lib_unique_variants	23	True
