read_id	chr_end	y_prime_observed_array	y_prime_gained_segment	y_prime_path	cat	recombination_source	overall_confidence
SRR33298444.5485	chr10L	ID1,ID1,ID1	ID1,ID1,ID1	chr12R[2-4]:ID1,ID1,ID1	unique donor by IDs+ITS	chr12R	0.33
SRR33298444.58194	chr10L	ID1,ID1	ID1,ID1	chr13L?[2]:ID1 > chr12R|chr13L|chr14L|chr15R|chr16L|chr4R|chr5R|chr7R:ID1	unresolved	chr12R	0.33
SRR33298444.76422	chr11L	ID3,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID3,ID1,ID1,ID1,ID1,ID1,ID1,ID1	chr10L|chr9L:ID3 > chr12R[2-6]:ID1,ID1,ID1,ID1,ID1,ID1,ID1(circ x1.4 strong)	unique donor by IDs	chr4R	0.66
SRR33298444.210649	chr11L	ID3,ID1,ID1,ID1,ID1	ID3,ID1,ID1,ID1,ID1	chr10L|chr9L:ID3 > chr12R[2-5]:ID1,ID1,ID1,ID1	unique donor by IDs+ITS	chr12R	0.33
SRR33298444.42838	chr11L	ID3,ID1,ID1,ID1	ID3,ID1,ID1,ID1	chr10L|chr9L:ID3 > chr12R[2-4]:ID1,ID1,ID1	unique donor by IDs+ITS	chr12R	0.33
SRR33298444.69266	chr11L	ID3,ID1	ID3,ID1	chr10L|chr9L:ID3 > chr12R|chr13L|chr14L|chr15R|chr16L|chr4R|chr5R|chr7R:ID1	unresolved	ambiguous	0.3
SRR33298444.96784	chr11L	ID3,ID1	ID3,ID1	chr10L|chr9L:ID3 > chr12R|chr13L|chr14L|chr15R|chr16L|chr4R|chr5R|chr7R:ID1	unresolved	ambiguous	0.3
SRR33298444.149473	chr11L	ID3,ID1	ID3,ID1	chr10L|chr9L:ID3 > chr12R|chr13L|chr14L|chr15R|chr16L|chr4R|chr5R|chr7R:ID1	unresolved	ambiguous	0.3
SRR33298444.68976	chr11L	ID3,ID1	ID3,ID1	chr10L|chr9L:ID3 > chr12R|chr13L|chr14L|chr15R|chr16L|chr4R|chr5R|chr7R:ID1	unresolved	ambiguous	0.3
SRR33298444.57063	chr11L	ID3,ID2	ID3,ID2	chr10L|chr9L:ID3 > chr12L|chr13L|chr14L|chr8L|chr8R:ID2	unresolved	ambiguous	0.3
SRR33298444.55691	chr11L	ID3,ID2	ID3,ID2	chr10L|chr9L:ID3 > chr12L|chr13L|chr14L|chr8L|chr8R:ID2	unresolved	ambiguous	0.3
SRR33298444.32243	chr11R	ID1,ID1,ID1,ID1,ID1,ID2	ID1,ID1,ID1,ID1,ID1,ID2	chr12R[3-6]:ID1,ID1,ID1,ID1 > chr14L[2-3]:ID1,ID2	unique donor by IDs	chr14L	0.66
SRR33298444.45738	chr11R	ID1,ID1	ID1,ID1	chr12R|chr14L|chr4R:ID1,ID1	unresolved	chr14L	0.33
SRR33298444.183036	chr12L	ID2,ID1,ID1,ID1,ID1,ID2,ID2	ID1,ID1,ID1,ID1,ID2,ID2	chr12R[2-5]:ID1,ID1,ID1,ID1 > chr14L[3-4]:ID2,ID2	unique donor by IDs	chr14L	0.66
SRR33298444.97983	chr12L	ID2,ID1,ID1	ID1,ID1	chr14L[1-2]:ID1,ID1	unique donor by IDs+ITS	chr14L	0.33
SRR33298444.120791	chr12R	ID5,ID1,ID1,ID1,ID1,ID1,ID2,ID2,ID2	ID2,ID2,ID2	chr14L[3-5]:ID2,ID2,ID2	unique donor by IDs	chr14L	0.66
SRR33298444.49159	chr13L	ID2,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1,ID1	chr12R|chr14L|chr4R:ID1,ID1 > chr12R[2-3]:ID1,ID1,ID1,ID1,ID1(circ x2.5 moderate)	unique donor by IDs	chr4R	0.66
SRR33298444.127264	chr13L	ID2,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1	chr12R[2-6]:ID1,ID1,ID1,ID1,ID1	unique donor by IDs+ITS	chr12R	0.33
SRR33298444.1836	chr13L	ID2,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1	chr12R[2-5]:ID1,ID1,ID1,ID1	unique donor by IDs+ITS	chr12R	0.33
SRR33298444.208469	chr13L	ID2,ID1,ID1,ID1,ID1	ID1,ID1,ID1	chr12R[2-4]:ID1,ID1,ID1	unique donor by IDs+ITS	chr12R	0.33
SRR33298444.228396	chr13L	ID2,ID1,ID1,ID1	ID1,ID1	chr12R|chr14L|chr4R:ID1,ID1	unresolved	chr12R	0.33
SRR33298444.234764	chr13R	ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1	chr12R|chr13L|chr14L|chr4R:ID1,ID1,ID1,ID1,ID1,ID1(circ x6.0)	unique donor by IDs	chr15R	0.663
SRR33298444.47019	chr13R	ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1	chr12R[2-5]:ID1,ID1,ID1,ID1	unique donor by IDs+ITS	chr15R	0.6512
SRR33298444.98264	chr13R	ID1,ID2,ID1,ID1	ID1,ID2,ID1,ID1	chr12R|chr13L|chr14L|chr15R|chr16L|chr4R|chr5R|chr7R:ID1 > chr12L|chr13L|chr14L|chr8L|chr8R:ID2 > chr12R|chr14L|chr4R:ID1,ID1	unique donor by IDs	chr15R	0.6649
SRR33298444.176959	chr13R	ID1,ID1	ID1,ID1	chr12R|chr14L|chr4R:ID1,ID1	unresolved	chr15R	1.0
SRR33298444.182257	chr13R	ID1,ID1	ID1,ID1	chr12R|chr14L|chr4R:ID1,ID1	unresolved	chr15R	1.0
SRR33298444.171578	chr13R	ID1,ID1	ID1,ID1	chr12R|chr14L|chr4R:ID1,ID1	unresolved	chr15R	1.0
SRR33298444.138090	chr13R	ID1,ID1	ID1,ID1	chr12R|chr14L|chr4R:ID1,ID1	unresolved	chr15R	1.0
SRR33298444.15230	chr13R	ID1,ID2	ID1,ID2	chr14L[2-3]:ID1,ID2	unique donor by IDs+ITS	chr15R	0.666
SRR33298444.108382	chr14R	ID6,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID2,ID2,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID2,ID2,ID1,ID1	chr12R[2-6]:ID1,ID1,ID1,ID1,ID1 > chr14L[1-2]:ID1,ID1 > chr14L[1-4]:ID1,ID1,ID2,ID2,ID1,ID1(circ x1.5 strong)	unique donor by IDs	chr14L	0.66
SRR33298444.235037	chr14R	ID6,ID1,ID1,ID1,ID2,ID1	ID1,ID1,ID1,ID2,ID1	chr13L?[2]:ID1 > chr14L[1-3]:ID1,ID1,ID2,ID1(circ x1.3 moderate | alt chr14L[1-3] + chr14L[1])	unique donor by IDs	chr14L	0.66
SRR33298444.120708	chr14R	ID6,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1	chr12R|chr4R:ID1,ID1,ID1,ID1(circ x1.3)	unresolved	chr12R	0.33
SRR33298444.129683	chr14R	ID6,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1	chr12R[2-5]:ID1,ID1,ID1,ID1	unique donor by IDs+ITS	chr12R	0.33
SRR33298444.120661	chr14R	ID6,ID1,ID1,ID1,ID2	ID1,ID1,ID1,ID2	chr14L?[2]:ID1 > chr14L[1-3]:ID1,ID1,ID2	unique donor by IDs	chr14L	0.66
