read_id	chr_end	y_prime_observed_array	y_prime_gained_segment	y_prime_path	cat	recombination_source	overall_confidence
SRR33298451.77504	chr10R	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	chr13L[1-4]:ID2,ID1,ID2,ID1	unique donor by IDs	chr13L	1.0
SRR33298451.240183	chr12L	ID2,ID2,ID1	ID2,ID1	chr13L[1-2]:ID2,ID1	unique donor by IDs	chr13L	0.44
SRR33298451.526318	chr12L	ID2,ID2,ID1	ID2,ID1	chr13L[1-2]:ID2,ID1	unique donor by IDs	chr13L	0.44
SRR33298451.672329	chr12L	ID2,ID2,ID1	ID2,ID1	chr13L[1-2]:ID2,ID1	unique donor by IDs	chr13L	0.44
SRR33298451.326568	chr12R	ID5,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1,ID1	self[2]:ID1,ID1,ID1,ID1,ID1,ID1,ID1(circ x7.0 strong)	self (tandem amplification)	chr4R	0.66
SRR33298451.353311	chr12R	ID5,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1	self[2-4]:ID1,ID1,ID1	self (tandem amplification)	chr12R	0.33
SRR33298451.269959	chr13L	ID2,ID1,ID2,ID1,ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	self[1-4]:ID2,ID1,ID2,ID1	self (tandem amplification)	chr13L	0.33
SRR33298451.246104	chr13L	ID2,ID1,ID2,ID1,ID2,ID1,ID2,ID4	ID2,ID1,ID2,ID4	self[1-3]:ID2,ID1,ID2 > chr2L|chr6L:ID4	self (tandem amplification)	chr13L	0.33
SRR33298451.835326	chr13L	ID2,ID1,ID2,ID1,ID1,ID1	ID1,ID1	chr12R|chr14L:ID1,ID1	unresolved	chr12R	0.33
SRR33298451.799232	chr13L	ID2,ID1,ID2,ID1,ID2,ID1	ID2,ID1	self[1-2]:ID2,ID1	self (tandem amplification)	chr13L	0.33
SRR33298451.21947	chr13L	ID2,ID1,ID2,ID1,ID2,ID1	ID2,ID1	self[1-2]:ID2,ID1	self (tandem amplification)	chr13L	0.33
SRR33298451.489210	chr13L	ID2,ID1,ID1,ID1	ID1,ID1	chr12R|chr14L|chr4R:ID1,ID1	unresolved	chr12R	0.33
SRR33298451.765047	chr13R	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	chr13L[1-4]:ID2,ID1,ID2,ID1	unique donor by IDs	chr13L	0.7889
SRR33298451.70962	chr13R	ID1,ID1,ID1	ID1,ID1,ID1	chr4R[5-7]:ID1,ID1,ID1	unique donor by IDs+ITS	chr15R	0.6639
SRR33298451.864185	chr14L	ID1,ID1,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2	ID2,ID2,ID2,ID2,ID2	self[3-5]:ID2,ID2,ID2,ID2,ID2(circ x1.7 moderate | alt chr14L[3-5] + chr14L[3-4])	self (tandem amplification)	chr14L	0.33
SRR33298451.310151	chr14L	ID1,ID1,ID2,ID2,ID2,ID1,ID1	ID1,ID1	chr4R[1-2]:ID1,ID1	self (tandem amplification)	chr14L	0.33
SRR33298451.579915	chr14L	ID1,ID1,ID1,ID2,ID2,ID2	ID1,ID2,ID2,ID2	self[2-5]:ID1,ID2,ID2,ID2	self (tandem amplification)	chr14L	0.33
SRR33298451.835155	chr14L	ID1,ID1,ID2,ID2,ID1,ID2	ID1,ID2	self[2-3]:ID1,ID2	self (tandem amplification)	chr14L	0.33
SRR33298451.203319	chr14L	ID1,ID1,ID2,ID1,ID2,ID2	ID1,ID2,ID2	self[2-4]:ID1,ID2,ID2	self (tandem amplification)	chr14L	0.33
SRR33298451.461626	chr14R	ID6,ID1,ID1,ID1	ID1,ID1,ID1	chr4R[5-7]:ID1,ID1,ID1	unique donor by IDs+ITS	chr4R	0.33
SRR33298451.284895	chr14R	ID1,ID2	ID1,ID2	chr13L[2-3]:ID1,ID2	unique donor by IDs+ITS	chr13L	0.33
SRR33298451.800247	chr15R	ID1,ID1,ID1	ID1,ID1	chr4R[1-2]:ID1,ID1	unique donor by IDs+ITS	chr4R	0.33
SRR33298451.366866	chr16L	ID1,ID1,ID1,ID1	ID1,ID1,ID1	chr12R|chr4R:ID1,ID1,ID1	unresolved	chr12R	0.33
SRR33298451.305751	chr16R	ID7,ID1,ID1,ID1	ID1,ID1,ID1	chr4R[5-7]:ID1,ID1,ID1	unique donor by IDs+ITS	chr4R	0.33
SRR33298451.864125	chr16R	ID7,ID1,ID1	ID1,ID1	chr12R|chr14L|chr4R:ID1,ID1	unresolved	chr12R	0.33
SRR33298451.541743	chr16R	ID7,ID2,ID1	ID2,ID1	chr13L[1-2]:ID2,ID1	unique donor by IDs	chr13L	0.44
SRR33298451.616779	chr16R	ID7,ID1,ID2	ID1,ID2	chr14L[2-3]:ID1,ID2	unique donor by IDs+ITS	chr14L	0.33
SRR33298451.464072	chr16R	ID2,ID2	ID2,ID2	chr12L|chr13L|chr14L|chr8L|chr8R:ID2 > chr12L|chr13L|chr14L|chr8L|chr8R:ID2	unique donor by IDs	chr14L	0.44
SRR33298451.705922	chr2L	ID4,ID2,ID1	ID2,ID1	chr13L[1-2]:ID2,ID1	unique donor by IDs	chr13L	0.44
SRR33298451.852687	chr2L	ID4,ID2,ID2	ID2,ID2	chr13L?[1]:ID2 > chr12L|chr13L|chr14L|chr8L|chr8R:ID2	unique donor by IDs	chr14L	0.44
SRR33298451.481417	chr2R	ID2,ID1,ID2,ID1,ID2	ID2,ID1,ID2,ID1,ID2	chr13L[1-2]:ID2,ID1,ID2,ID1,ID2(circ x2.5 strong)	unique donor by IDs	chr13L	0.66
SRR33298451.723342	chr2R	ID2,ID1,ID2,ID1,ID2	ID2,ID1,ID2,ID1,ID2	chr13L[1-2]:ID2,ID1,ID2,ID1,ID2(circ x2.5 strong)	unique donor by IDs	chr13L	0.66
SRR33298451.61000	chr2R	ID2,ID2,ID1	ID2,ID2,ID1	chr13L?[1]:ID2 > chr13L[1-2]:ID2,ID1	unique donor by IDs+ITS	chr13L	0.33
SRR33298451.853414	chr3L	ID1,ID1,ID1	ID1,ID1,ID1	chr12R|chr4R:ID1,ID1,ID1	unresolved	chr12R	0.33
SRR33298451.319715	chr3R	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	chr13L[1-4]:ID2,ID1,ID2,ID1	unique donor by IDs	chr13L	0.66
SRR33298451.271004	chr3R	ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1	chr4R[5-7]:ID1,ID1,ID1,ID1(circ x1.3 moderate | alt chr4R[1] + chr4R[5-7])	unique donor by IDs+ITS	chr4R	0.33
SRR33298451.675178	chr4R	ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1	self[3-7]:ID1,ID1,ID1,ID1,ID1	self (tandem amplification)	chr4R	0.33
SRR33298451.11329	chr4R	ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1	self[5-7]:ID1,ID1,ID1	self (tandem amplification)	chr4R	0.33
SRR33298451.589654	chr5L	ID8,ID1,ID2,ID1,ID2	ID1,ID2,ID1,ID2	chr13L[1-2]:ID1,ID2,ID1,ID2(circ x2.0 moderate | alt chr13L[2-4] + chr13L[1])	unique donor by IDs	chr13L	0.66
SRR33298451.203937	chr5L	ID8,ID1,ID2,ID1	ID1,ID2,ID1	chr13L[2-4]:ID1,ID2,ID1	unique donor by IDs	chr13L	0.66
