read_id	chr_end	y_prime_observed_array	y_prime_gained_segment	y_prime_path	cat	recombination_source	overall_confidence
SRR33298447.413460	chr10L	ID6,ID3,ID3	ID3,ID3	chr14L[3]:ID3 > chr14L[3]:ID3	unique donor by IDs	chr14L	0.44
SRR33298447.326621	chr10L	ID5,ID3	ID5,ID3	chr14L?[1]:ID5 > chr14L[3]:ID3	unresolved	chr12	0.3
SRR33298447.149567	chr10R	ID2,ID2,ID2,ID2,ID2	ID2,ID2,ID2,ID2,ID2	chr4R[2-6]:ID2,ID2,ID2,ID2,ID2	unique donor by IDs+ITS	chr4R	0.33
SRR33298447.297131	chr10R	ID5,ID2,ID3,ID3,ID3	ID5,ID2,ID3,ID3,ID3	chr14L[1-5]:ID5,ID2,ID3,ID3,ID3	unique donor by IDs	chr14L	0.66
SRR33298447.322782	chr10R	ID7,ID2,ID7,ID2	ID7,ID2,ID7,ID2	chr13L[1-4]:ID7,ID2,ID7,ID2	unique donor by IDs	chr13L	0.66
SRR33298447.94058	chr10R	ID7,ID7	ID7,ID7	chr13L[1]:ID7 > chr13L[1]:ID7	unique donor by IDs+ITS	chr13L	0.33
SRR33298447.490537	chr11L	ID7,ID2,ID7,ID2,ID7,ID3,ID3,ID3,ID3,ID3,ID3	ID7,ID2,ID7,ID2,ID7,ID3,ID3,ID3,ID3,ID3,ID3	chr13L[1-4]:ID7,ID2,ID7,ID2,ID7(circ x1.2 strong) > chr14L[3]:ID3,ID3,ID3,ID3,ID3,ID3(circ x6.0 strong)	unique donor by IDs	chr13L	0.66
SRR33298447.165752	chr11L	ID1,ID2,ID2,ID2,ID2,ID2	ID1,ID2,ID2,ID2,ID2,ID2	chr12R[1-6]:ID1,ID2,ID2,ID2,ID2,ID2	unique donor by IDs	chr12R	0.66
SRR33298447.149279	chr11L	ID5,ID2,ID3,ID2,ID3	ID5,ID2,ID3,ID2,ID3	chr14L[1-3]:ID5,ID2,ID3 > chr14L[2-3]:ID2,ID3	unique donor by IDs	chr14L	0.66
SRR33298447.31853	chr11L	ID1,ID2,ID2	ID1,ID2,ID2	chr12R[1-3]:ID1,ID2,ID2	unique donor by IDs	chr12R	0.66
SRR33298447.146060	chr11L	ID7,ID2,ID7	ID7,ID2,ID7	chr13L[1-3]:ID7,ID2,ID7	unique donor by IDs	chr13L	0.66
SRR33298447.273365	chr11L	ID4,ID2	ID4,ID2	chr2L|chr6L:ID4 > chr12R|chr13L|chr14L|chr15R|chr4R:ID2	unresolved	ambiguous	0.3
SRR33298447.285628	chr11L	ID3,ID3	ID3,ID3	chr14L[3-4]:ID3,ID3	unique donor by IDs	chr14L	0.44
SRR33298447.334512	chr11R	ID2,ID2,ID2,ID2,ID2,ID2,ID2	ID2,ID2,ID2,ID2,ID2,ID2,ID2	chr4R[1-7]:ID2,ID2,ID2,ID2,ID2,ID2,ID2	unique donor by IDs	chr4R	0.66
SRR33298447.268817	chr11R	ID7,ID2,ID7,ID7,ID2,ID2	ID7,ID2,ID7,ID7,ID2,ID2	chr13L[1-3]:ID7,ID2,ID7,ID7,ID2(circ x1.7 strong) > chr12R|chr13L|chr14L|chr15R|chr4R:ID2	unique donor by IDs	chr13L	0.66
SRR33298447.12915	chr11R	ID7,ID2,ID7,ID2	ID7,ID2,ID7,ID2	chr13L[1-4]:ID7,ID2,ID7,ID2	unique donor by IDs	chr13L	0.66
SRR33298447.151090	chr11R	ID2,ID2,ID2	ID2,ID2,ID2	chr12R|chr4R:ID2,ID2,ID2	unresolved	chr12R	0.33
