chr_end	donor	unit	repeats	support	read_id	path	source
chr10R	chr13L[1-2]	ID2,ID1	2.5	strong	SRR33298449.327615	chr13L[1-2]:ID2,ID1,ID2,ID1,ID2(circ x2.5 strong)	chr13L
chr12L	chr4R[3-4]	ID1,ID1	3.5	moderate	SRR33298449.12734	chr4R[3-4]:ID1,ID1,ID1,ID1,ID1,ID1,ID1(circ x3.5 moderate)	chr4R
chr12L	chr12R|chr13L|chr14L|chr4R	ID1	6.0	na	SRR33298449.399655	chr12R|chr13L|chr14L|chr4R:ID1,ID1,ID1,ID1,ID1,ID1(circ x6.0)	chr4R
chr13L	self[2]	ID1	4.0	moderate	SRR33298449.22248	self[2-4]:ID1,ID2,ID1 > self[2]:ID1,ID1,ID1,ID1(circ x4.0 moderate)	chr13L
chr13L	self[2]	ID1	3.0	moderate	SRR33298449.331456	chr14L?[2]:ID1 > self[2]:ID1,ID1,ID1(circ x3.0 moderate)	chr13L
chr13L	self[1-3]	ID2,ID2,ID1	1.3	moderate	SRR33298449.399579	self[1-3]:ID2,ID2,ID1,ID2(circ x1.3 moderate | alt chr13L[1] + chr13L[1-3])	chr14L
chr14L	self[3]	ID2	7.0	strong	SRR33298449.389750	self[3]:ID2,ID2,ID2,ID2,ID2,ID2,ID2(circ x7.0 strong)	chr14L
chr14L	self[3]	ID2	5.0	moderate	SRR33298449.353063	self[3]:ID2,ID2,ID2,ID2,ID2(circ x5.0 moderate | alt chr14L[3-5] + chr14L[3-4])	chr14L
chr14L	self[1]	ID1	6.0	strong	SRR33298449.278119	self[1]:ID1,ID1,ID1,ID1,ID1,ID1(circ x6.0 strong)	chr4R
chr14L	self[1-2]	ID1,ID1	1.5	moderate	SRR33298449.586167	self[1-2]:ID1,ID1,ID1(circ x1.5 moderate | alt chr14L[1-2] + chr14L[1])	chr14L
chr14R	chr14L[3-4]	ID2,ID2	2.0	moderate	SRR33298449.231908	chr14L[3-4]:ID2,ID2,ID2,ID2(circ x2.0 moderate | alt chr14L[3-5] + chr14L[3])	chr14L
chr14R	chr10L|chr9L	ID3	3.0	na	SRR33298449.132130	chr10L|chr9L:ID3,ID3,ID3(circ x3.0)	ambiguous
chr15R	chr12R[2-4]	ID1,ID1,ID1	1.7	moderate	SRR33298449.203189	chr12R|chr14L|chr4R:ID1,ID1 > chr12R[2-4]:ID1,ID1,ID1,ID1,ID1(circ x1.7 moderate | alt chr12R[2-4] + chr12R[2-3])	chr4R
chr15R	chr12R[2-3]	ID1,ID1	2.0	moderate	SRR33298449.541542	chr12R[2-3]:ID1,ID1,ID1,ID1(circ x2.0 moderate | alt chr12R[2-3] + chr12R[2-3])	chr12R
chr15R	chr12R|chr13L	ID1	3.0	na	SRR33298449.557763	chr12R|chr13L:ID1,ID1,ID1(circ x3.0)	chr12R
chr2R	chr13L[1-2]	ID2,ID1	2.5	strong	SRR33298449.444426	chr13L[1-2]:ID2,ID1,ID2,ID1,ID2(circ x2.5 strong)	chr13L
chr3R	chr13L[2-4]	ID1,ID1,ID2	1.3	moderate	SRR33298449.567566	chr13L[2-4]:ID1,ID1,ID2,ID1(circ x1.3 moderate | alt chr13L[2] + chr13L[2-4])	chr7R
chr4L	chr4R[3-5]	ID1,ID1,ID1	1.7	moderate	SRR33298449.354290	chr4R[3-5]:ID1,ID1,ID1,ID1,ID1(circ x1.7 moderate | alt chr4R[1] + chr4R[3-6])	chr4R
chr4L	chr13L[1-2]	ID2,ID1	2.5	strong	SRR33298449.23058	chr13L[1-2]:ID2,ID1,ID2,ID1,ID2(circ x2.5 strong)	chr13L
chr5L	chr12R|chr13L	ID1	3.0	na	SRR33298449.567078	chr12R|chr13L:ID1,ID1,ID1(circ x3.0)	chr12R
chr5R	chr13L[1-2]	ID1,ID2	2.5	strong	SRR33298449.131857	chr13L[1-2]:ID1,ID2,ID1,ID2,ID1(circ x2.5 strong)	chr13L
chr7L	chr12R[2-4]	ID1,ID1,ID1	1.3	moderate	SRR33298449.107663	chr12R[2-4]:ID1,ID1,ID1,ID1(circ x1.3 moderate | alt chr12R[2-4] + chr12R[2])	chr12R
chr7R	chr4R[1-4]	ID1,ID1,ID1,ID1	1.2	moderate	SRR33298449.277410	chr4R[1-4]:ID1,ID1,ID1,ID1,ID1(circ x1.2 moderate | alt chr4R[1-3] + chr4R[1-2])	chr4R
chr7R	chr12R|chr14L|chr4R	ID1,ID1	1.5	na	SRR33298449.444270	chr12R|chr14L|chr4R:ID1,ID1,ID1(circ x1.5)	chr12R
chr7R	chr13L[1-2]	ID2,ID1	1.5	moderate	SRR33298449.347234	chr13L[1-2]:ID2,ID1,ID2(circ x1.5 moderate | alt chr13L[1-2] + chr13L[1])	chr13L
chr8L	chr14L[1-4]	ID2,ID2,ID1,ID1	1.2	moderate	SRR33298449.319937	chr14L[1-4]:ID2,ID2,ID1,ID1,ID2(circ x1.2 moderate | alt chr14L[3-4] + chr14L[1-3])	chr14L
chr8L	chr13L[1-2]	ID1,ID2	2.0	moderate	SRR33298449.17944	chr13L[1-2]:ID1,ID2,ID1,ID2(circ x2.0 moderate | alt chr13L[2-4] + chr13L[1])	chr13L
chr8R	chr14L[3-4]	ID2,ID2	2.0	moderate	SRR33298449.126869	chr14L[3-4]:ID2,ID2,ID2,ID2(circ x2.0 moderate | alt chr14L[3-4] + chr14L[3-4])	chr14L
chr9L	chr12R|chr4R	ID1,ID1,ID1	1.3	na	SRR33298449.525711	chr12R|chr4R:ID1,ID1,ID1,ID1(circ x1.3)	chr12R
