chr_end	donor	unit	repeats	support	read_id	path	source
chr10R	chr13L[1-2]	ID2,ID1	2.5	strong	SRR33298450.390026	chr13L[1-2]:ID2,ID1,ID2,ID1,ID2(circ x2.5 strong)	chr13L
chr12L	chr12R|chr14L|chr4R	ID1,ID1	1.5	na	SRR33298450.73471	chr12R|chr14L|chr4R:ID1,ID1,ID1(circ x1.5)	chr12R
chr12L	chr14L[3-4]	ID2,ID2	1.5	moderate	SRR33298450.292399	chr14L[3-4]:ID2,ID2,ID2(circ x1.5 moderate | alt chr14L[3] + chr14L[3-4])	chr14L
chr12R	self[2]	ID1	6.0	moderate	SRR33298450.111984	self[2]:ID1,ID1,ID1,ID1,ID1,ID1(circ x6.0 moderate | alt chr12R[2-6] + chr12R[2])	chr4R
chr13L	chr4R[3-4]	ID1,ID1	3.0	moderate	SRR33298450.79362	chr4R[3-4]:ID1,ID1,ID1,ID1,ID1,ID1(circ x3.0 moderate | alt chr4R[5-7] + chr4R[3-5])	chr4R
chr13L	self[2-4]	ID1,ID2,ID1	2.0	strong	SRR33298450.222436	self[2-4]:ID1,ID2,ID1,ID1,ID2,ID1(circ x2.0 strong)	chr13L
chr13L	self[1-2]	ID1,ID2	2.0	moderate	SRR33298450.75601	self[1-2]:ID1,ID2,ID1,ID2(circ x2.0 moderate | alt chr13L[2-4] + chr13L[1])	chr13L
chr14L	self[3-4]	ID2,ID2	4.0	strong	SRR33298450.203144	self[3-4]:ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2(circ x4.0 strong)	chr14L
chr14L	chr12R[2-5]	ID1,ID1,ID1,ID1	1.5	moderate	SRR33298450.45757	chr12R[2-5]:ID1,ID1,ID1,ID1,ID1,ID1(circ x1.5 moderate)	chr4R
chr16R	chr14L[2-4]	ID2,ID2,ID1	1.3	moderate	SRR33298450.553472	chr14L[2-4]:ID2,ID2,ID1,ID2(circ x1.3 moderate | alt chr14L[3-4] + chr14L[2-3])	chr14L
chr1L	chr13L[2-4]	ID1,ID2,ID1	1.3	moderate	SRR33298450.174100	chr12L|chr14L|chr8L|chr8R:ID2 > chr13L[2-4]:ID1,ID2,ID1,ID1(circ x1.3 moderate | alt chr13L[2-4] + chr13L[2])	chr13L
chr2L	chr13L[2-4]	ID1,ID1,ID2	1.7	strong	SRR33298450.240686	chr14L?[2]:ID1 > chr13L[2-4]:ID1,ID1,ID2,ID1,ID1(circ x1.7 strong)	chr14L
chr3R	chr13L[2-3]	ID2,ID1	2.0	moderate	SRR33298450.27157	chr13L[2-3]:ID2,ID1,ID2,ID1(circ x2.0 moderate | alt chr13L[1-3] + chr13L[2])	chr13L
chr5R	chr13L[1-2]	ID2,ID1	3.5	strong	SRR33298450.211944	chr13L[1-2]:ID2,ID1,ID2,ID1,ID2,ID1,ID2(circ x3.5 strong)	chr13L
chr6L	chr12R|chr14L|chr4R	ID1,ID1	2.0	na	SRR33298450.419849	chr12R|chr14L|chr4R:ID1,ID1,ID1,ID1(circ x2.0) > chr13L[2-4]:ID1,ID2,ID1	chr14L
chr7L	chr12R[2-6]	ID1,ID1,ID1,ID1,ID1	1.4	strong	SRR33298450.273100	chr14L?[3]:ID2 > chr12R[2-6]:ID1,ID1,ID1,ID1,ID1,ID1,ID1(circ x1.4 strong)	chr12R
chr7R	chr14L[1-3]	ID1,ID2,ID1	1.7	moderate	SRR33298450.554823	chr14L[1-3]:ID1,ID2,ID1,ID1,ID2(circ x1.7 moderate | alt chr14L[2-3] + chr14L[1-3])	chr14L
chr7R	chr4R[1-2]	ID1,ID1	1.5	moderate	SRR33298450.557312	chr4R[1-2]:ID1,ID1,ID1(circ x1.5 moderate | alt chr4R[1] + chr4R[1-2])	chr4R
