chr_end	n_a	n_b	pct_recomb_a	pct_recomb_b	delta	pct_gain_a	pct_gain_b	pct_loss_a	pct_loss_b	top_source_a	top_source_b	source_agrees	verdict
chr1L	300	125	16.3	9.6	-6.7	7.3	6.4	0.0	0.0	chr1R	chr1R	True	FLAG
chr1R	101	56	8.9	14.3	5.4	4.0	7.1	0.0	0.0	chr1L	chr1L	True	FLAG
chr2L	283	196	4.9	7.7	2.7	2.8	4.6	0.0	0.0	chr12	chr12	True	ok
chr2R	297	185	12.5	10.3	-2.2	10.4	8.6	0.0	0.0	chr7	chr7	True	ok
chr3L	441	266	2.0	2.6	0.6	1.4	1.5	0.0	0.0	chr14R	chr11R	False	ok
chr3R	386	288	4.4	5.6	1.2	2.8	4.5	0.0	0.0	chr13L	chr14	False	ok
chr4L	155	139	4.5	7.9	3.4	1.3	2.9	0.0	0.0	chr10R	chr13L	False	ok
chr4R	44	61	47.7	50.8	3.1	13.6	9.8	34.1	41.0	chr4R	chr4R	True	ok
chr5L	364	221	3.8	6.3	2.5	1.4	3.6	0.0	0.0	chr14L	chr12R	False	ok
chr5R	375	170	2.7	6.5	3.8	2.1	4.1	0.0	0.6	chr14L	chr14L	True	ok
chr6L	345	260	6.7	100.0	93.3	1.2	0.0	2.3	0.8	chr14	chr5R	False	FLAG
chr6R	363	303	1.4	2.3	0.9	1.4	2.3	0.0	0.0	chr8	chr5R	False	ok
chr7L	337	190	1.2	6.3	5.1	1.2	5.8	0.0	0.0	chr13L	chr10L	False	FLAG
chr7R	221	170	4.5	5.3	0.8	3.6	5.3	0.0	0.0	chr14L	chr14L	True	ok
chr8L	364	231	0.3	7.4	7.1	0.3	3.0	0.0	0.9	chr5	chr3R	False	FLAG
chr8R	86	113	3.5	0.9	-2.6	0.0	0.9	2.3	0.0		chr14	True	ok
chr9L	231	148	1.3	1.4	0.1	0.0	1.4	0.4	0.0	chr14R	chr12	False	ok
chr9R	397	247	3.8	3.6	-0.1	2.8	3.2	0.0	0.0	chr13L	chr12R	False	ok
chr10L	173	153	1.7	2.6	0.9	1.2	1.3	0.0	0.0	chr12R	chr12	False	ok
chr10R	254	176	2.0	9.7	7.7	1.6	5.7	0.0	0.0	chr13L	chr4L	False	FLAG
chr11L	301	215	100.0	3.3	-96.7	5.6	3.3	0.0	0.0	chr11R	chr12R	False	FLAG
chr11R	299	195	6.4	11.3	4.9	3.0	6.7	0.0	0.0	chr3L	chr3L	True	ok
chr12L	335	204	1.8	5.4	3.6	0.9	2.0	0.0	0.0	chr2L	chr12R	False	ok
chr12R	20	32	70.0	68.8	-1.2	5.0	28.1	60.0	31.2	chr3R	chr3R	True	ok
chr13L	321	182	1.9	3.3	1.4	0.9	1.6	0.3	1.6	chr14	chr14	True	ok
chr13R	262	152	11.5	3.9	-7.5	10.7	3.9	0.0	0.0	chr15R	chr15R	True	FLAG
chr14L	94	94	31.9	97.9	66.0	7.4	0.0	20.2	28.7	chr12	chr12	True	FLAG
chr14R	276	197	4.7	5.6	0.9	0.4	3.0	0.4	1.0	chr14L	chr12	False	ok
chr15L	354	228	3.7	7.5	3.8	2.3	5.7	0.0	0.0	chr10R	chr12R	False	ok
chr15R	183	134	4.4	3.0	-1.4	3.8	3.0	0.0	0.0	chr4R	chr7R	False	ok
chr16L	179	138	99.4	100.0	0.6	0.0	2.2	98.9	97.8		chr16L	True	ok
chr16R	313	211	2.2	3.8	1.6	0.6	1.9	0.0	0.0	chr14L	chr12R	False	ok
